09:04:16.152 /home/macfly/Git/contiki/tools/sky/serialdump-linux -b115200 /dev/ttyUSB0

09:04:16.646 Rime started with address 1.0

09:04:16.657 MAC 01:00:00:00:00:00:00:00 Ref ID: 3617

09:04:16.657 Contiki-2.6-2121-gdf2cdbb started. Node id is set to 1.

09:04:16.666 nullmac ContikiMAC, channel check rate 8 Hz, radio channel 26

09:04:16.666 Starting 'Net test'


09:14:33.296 RX 3.0 MSG 305 12345678901234567890123456789012345678901

09:14:34.671 RX 3.0 MSG 306 12345678901234567890123456789012345678901

09:14:36.796 RX 3.0 MSG 307 12345678901234567890123456789012345678901

09:14:37.796 RX 3.0 MSG 308 12345678901234567890123456789012345678901

09:14:39.296 RX 3.0 MSG 309 12345678901234567890123456789012345678901

09:14:41.171 RX 3.0 MSG 310 12345678901234567890123456789012345678901

09:14:44.046 RX 3.0 MSG 311 12345678901234567890123456789012345678901

09:14:46.921 RX 3.0 MSG 312 12345678901234567890123456789012345678901

09:14:53.296 RX 3.0 MSG 315 12345678901234567890123456789012345678901

09:14:56.046 RX 3.0 MSG 316 12345678901234567890123456789012345678901

09:14:57.921 RX 3.0 MSG 317 12345678901234567890123456789012345678901

09:15:01.046 RX 3.0 MSG 319 12345678901234567890123456789012345678901

09:15:02.796 RX 3.0 MSG 320 12345678901234567890123456789012345678901

09:15:05.671 RX 3.0 MSG 321 12345678901234567890123456789012345678901

09:15:08.545 RX 3.0 MSG 322 12345678901234567890123456789012345678901

09:15:09.671 RX 3.0 MSG 323 12345678901234567890123456789012345678901

09:15:11.421 RX 3.0 MSG 324 12345678901234567890123456789012345678901

09:15:17.171 RX 3.0 MSG 327 12345678901234567890123456789012345678901

09:15:20.046 RX 3.0 MSG 328 12345678901234567890123456789012345678901

09:15:24.421 RX 3.0 MSG 330 12345678901234567890123456789012345678901

09:15:28.046 RX 3.0 MSG 332 12345678901234567890123456789012345678901

09:15:32.171 RX 3.0 MSG 334 12345678901234567890123456789012345678901

09:15:34.421 RX 3.0 MSG 335 12345678901234567890123456789012345678901

09:15:36.796 RX 3.0 MSG 336 12345678901234567890123456789012345678901

09:15:43.546 RX 3.0 MSG 339 12345678901234567890123456789012345678901

09:15:48.296 RX 3.0 MSG 341 12345678901234567890123456789012345678901

09:16:00.421 RX 3.0 MSG 346 12345678901234567890123456789012345678901

09:16:01.796 RX 3.0 MSG 347 12345678901234567890123456789012345678901

09:16:04.046 RX 3.0 MSG 348 12345678901234567890123456789012345678901

09:16:06.296 RX 3.0 MSG 349 12345678901234567890123456789012345678901

09:16:09.171 RX 3.0 MSG 350 12345678901234567890123456789012345678901

09:16:10.921 RX 3.0 MSG 351 12345678901234567890123456789012345678901

09:16:13.171 RX 3.0 MSG 352 12345678901234567890123456789012345678901

09:16:15.671 RX 3.0 MSG 354 12345678901234567890123456789012345678901

09:16:18.671 RX 3.0 MSG 355 12345678901234567890123456789012345678901

09:16:20.921 RX 3.0 MSG 356 12345678901234567890123456789012345678901

09:16:22.921 RX 3.0 MSG 357 12345678901234567890123456789012345678901

09:16:27.296 RX 3.0 MSG 359 12345678901234567890123456789012345678901

09:16:28.546 RX 3.0 MSG 360 12345678901234567890123456789012345678901

09:16:30.796 RX 3.0 MSG 361 12345678901234567890123456789012345678901

09:16:32.796 RX 3.0 MSG 362 12345678901234567890123456789012345678901

09:16:34.921 RX 3.0 MSG 363 12345678901234567890123456789012345678901

09:16:37.296 RX 3.0 MSG 364 12345678901234567890123456789012345678901

09:16:39.546 RX 3.0 MSG 365 12345678901234567890123456789012345678901

09:16:40.671 RX 3.0 MSG 366 12345678901234567890123456789012345678901

09:16:44.171 RX 3.0 MSG 368 12345678901234567890123456789012345678901

09:16:45.171 RX 3.0 MSG 369 12345678901234567890123456789012345678901

09:16:46.296 RX 3.0 MSG 370 12345678901234567890123456789012345678901

09:16:49.796 RX 3.0 MSG 372 12345678901234567890123456789012345678901

09:16:59.421 RX 3.0 MSG 377 12345678901234567890123456789012345678901

09:17:03.671 RX 3.0 MSG 379 12345678901234567890123456789012345678901

09:17:06.671 RX 3.0 MSG 381 12345678901234567890123456789012345678901

09:17:09.171 RX 3.0 MSG 382 12345678901234567890123456789012345678901

09:17:10.921 RX 3.0 MSG 383 12345678901234567890123456789012345678901

09:17:12.796 RX 3.0 MSG 384 12345678901234567890123456789012345678901

09:17:17.671 RX 3.0 MSG 386 12345678901234567890123456789012345678901

09:17:19.296 RX 3.0 MSG 387 12345678901234567890123456789012345678901

09:17:20.921 RX 3.0 MSG 388 12345678901234567890123456789012345678901

09:17:22.671 RX 3.0 MSG 389 12345678901234567890123456789012345678901

09:17:25.546 RX 3.0 MSG 390 12345678901234567890123456789012345678901

09:17:27.921 RX 3.0 MSG 391 12345678901234567890123456789012345678901

09:17:34.796 RX 3.0 MSG 394 12345678901234567890123456789012345678901

09:17:36.546 RX 3.0 MSG 395 12345678901234567890123456789012345678901

09:17:38.671 RX 3.0 MSG 396 12345678901234567890123456789012345678901

09:17:41.671 RX 3.0 MSG 398 12345678901234567890123456789012345678901

09:17:44.421 RX 3.0 MSG 399 12345678901234567890123456789012345678901

09:17:46.671 RX 3.0 MSG 400 12345678901234567890123456789012345678901

09:17:48.171 RX 3.0 MSG 401 12345678901234567890123456789012345678901

09:17:56.671 RX 3.0 MSG 405 12345678901234567890123456789012345678901

09:18:03.921 RX 3.0 MSG 410 12345678901234567890123456789012345678901

09:18:05.296 RX 3.0 MSG 411 12345678901234567890123456789012345678901

09:18:07.921 RX 3.0 MSG 412 12345678901234567890123456789012345678901

09:18:15.546 RX 3.0 MSG 416 12345678901234567890123456789012345678901

09:18:18.046 RX 3.0 MSG 417 12345678901234567890123456789012345678901

09:18:20.671 RX 3.0 MSG 418 12345678901234567890123456789012345678901

09:18:21.921 RX 3.0 MSG 419 12345678901234567890123456789012345678901

09:18:23.671 RX 3.0 MSG 420 12345678901234567890123456789012345678901

09:18:28.796 RX 3.0 MSG 423 12345678901234567890123456789012345678901

09:18:35.796 RX 3.0 MSG 426 12345678901234567890123456789012345678901

09:18:37.046 RX 3.0 MSG 427 12345678901234567890123456789012345678901

09:18:41.546 RX 3.0 MSG 429 12345678901234567890123456789012345678901

09:18:44.796 RX 3.0 MSG 431 12345678901234567890123456789012345678901

09:18:49.046 RX 3.0 MSG 434 12345678901234567890123456789012345678901

09:18:53.046 RX 3.0 MSG 436 12345678901234567890123456789012345678901

09:18:57.296 RX 3.0 MSG 438 12345678901234567890123456789012345678901

09:18:58.546 RX 3.0 MSG 439 12345678901234567890123456789012345678901

09:18:59.921 RX 3.0 MSG 440 12345678901234567890123456789012345678901

09:19:02.171 RX 3.0 MSG 441 12345678901234567890123456789012345678901

09:19:04.421 RX 3.0 MSG 442 12345678901234567890123456789012345678901

09:19:07.296 RX 3.0 MSG 443 12345678901234567890123456789012345678901

09:19:09.296 RX 3.0 MSG 444 12345678901234567890123456789012345678901

09:19:11.546 RX 3.0 MSG 445 12345678901234567890123456789012345678901

09:19:14.171 RX 3.0 MSG 446 12345678901234567890123456789012345678901

09:19:16.671 RX 3.0 MSG 447 12345678901234567890123456789012345678901

09:19:19.671 RX 3.0 MSG 448 12345678901234567890123456789012345678901

09:19:21.671 RX 3.0 MSG 449 12345678901234567890123456789012345678901

09:19:25.546 RX 3.0 MSG 451 12345678901234567890123456789012345678901

09:19:28.921 RX 3.0 MSG 453 12345678901234567890123456789012345678901

09:19:31.671 RX 3.0 MSG 454 12345678901234567890123456789012345678901

09:19:33.046 RX 3.0 MSG 455 12345678901234567890123456789012345678901

09:19:34.046 RX 3.0 MSG 456 12345678901234567890123456789012345678901

09:19:35.546 RX 3.0 MSG 457 12345678901234567890123456789012345678901

09:19:36.796 RX 3.0 MSG 458 12345678901234567890123456789012345678901

09:19:39.796 RX 3.0 MSG 459 12345678901234567890123456789012345678901

